Date,FNSKU,ASIN,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time,msku
02/01/2025,X002816EM5,B0DTK31PPH,Fusked Flufies Breathing Koala Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Dog),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027Z4S1L,B0DK52Z4FT,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Stitch Blue),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027Z05S1,B0DT6QDVKN,"Caaju Foldable Steel Storage Cubes Organizer with Handles Frame Collapsible Clothes Organizer Storage Box for Wardrobe,Toys,Books and Blankets Storage Box with Handles (Off-White, Pack of 2)",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027Z05QX,B0DT6QDDPX,"Caaju Foldable Steel Storage Cubes Organizer with Handles Frame Collapsible Clothes Organizer Storage Box for Wardrobe,Toys,Books and Blankets Storage Box with Handles (Off-White, Pack of 4)",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027SINDR,B0DSPWLCVP,FUSKED Flufies Sand Filled Rubber Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027QARD3,B0DSJMBF52,Fusked Flufies Breathing Fox Soft Toys for Baby Girl and Boy - 25 cmSensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027KYKHN,B0DS18DP6Q,FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027KWARF,B0DS19KB8K,FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027KWARF,B0DS19KB8K,FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027KW4W1,B0DS18WRKZ,FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0027DGAZZ,B0DRPJ1RSV,Xexy Stylish Full Rim Sunglasses for Women Fashion - Aesthetic Unisex Sunglasses with Non Polarized Glasses for Men and Women - Trendy Shades for Women with UV Protection,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X00279NLG5,B0DR6167SQ,Fusked Flufies Breathing Otter Soft Toys for Baby Girl and Boy - 25cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X00279NLG5,B0DR6167SQ,Fusked Flufies Breathing Otter Soft Toys for Baby Girl and Boy - 25cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X002739P9X,B0DQH6GLD2,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (White),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0026FX4Q7,B0DNKC3PQ4,Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0026FX4Q7,B0DNKC3PQ4,Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0026EX1AH,B0DNG1FQ67,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0026EWNTH,B0DNFY2WW3,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0026CNFAP,B0CLLTYSMY,"Fusked Hermoine Light Wand Toy For Kids Gift With Sunglass Harrypotter Accesssories Cosplay Combo Magic Wand Stick(Limited Edition 2024),Multicolor",Shipments,,-1,BOM7,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0025L96YB,B0DK52Z4FT,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Stitch Blue),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0025L96YB,B0DK52Z4FT,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Stitch Blue),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024AAU4D,B0DFTTQ4J6,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 23 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
